List Sr.No.,Set No.,2022 Set,First Name,Surname,Name,Country,State Association,DOB,Age,Specialism,Batting,Bowling,Test caps,ODI caps,T20 caps,IPL,Previous IPLTeam(s),2021 Team,2021 IPL,C/U/A,Reserve Price Rs Lakh
147,17,UAL2,Darshan,Nalkande,Darshan Nalkande,India,VCA,04-10-1998,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,0,PBKS,PBKS,0,Uncapped,20,
148,17,UAL2,Vicky,Ostwal,Vicky Ostwal,India,MACA,01-09-2002,19,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,,,,Uncapped,20,,
149,17,UAL2,Ripal,Patel,Ripal Patel,India,GUCA,28-09-1995,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,2,DC,DC,2,Uncapped,20,
150,17,UAL2,Anukul,Roy,Anukul Roy,India,JSCA,30-11-1998,23,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,1,MI,MI,0,Uncapped,20,
151,17,UAL2,N. Tilak,Varma,N. Tilak Varma,India,HYCA,08-11-2002,19,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,,,,Uncapped,20,,
152,17,UAL2,Lalit,Yadav,Lalit Yadav,India,DDCA,03-01-1997,25,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,7,DC,DC,7,Uncapped,20,
153,17,UAL2,Sanjay,Yadav,Sanjay Yadav,India,TNCA,10-05-1995,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,0,"KKR, SRH",,Uncapped,20,,
154,18,UFA2,Yash,Dayal,Yash Dayal,India,UPCA,13-12-1997,24,BOWLER,RHB,LEFT ARM Fast,,,,,,Uncapped,20,,
155,18,UFA2,Arzan,Nagwaswalla,Arzan Nagwaswalla,India,GUCA,17-10-1997,24,BOWLER,RHB,LEFT ARM Fast Medium,,,,,,Uncapped,20,,
156,18,UFA2,Kuldeep,Sen,Kuldeep Sen,India,MPCA,22-10-1996,25,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
157,18,UFA2,Akash,Singh,Akash Singh,India,RCA,26-04-2002,19,BOWLER,RHB,LEFT ARM Fast,,,1,RR,RR,1,Uncapped,20,
158,18,UFA2,Simarjeet,Singh,Simarjeet Singh,India,DDCA,17-01-1998,24,BOWLER,RHB,RIGHT ARM Fast,,,0,MI,MI,0,Uncapped,20,
159,18,UFA2,Yash,Thakur,Yash Thakur,India,VCA,28-12-1998,23,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
160,18,UFA2,Vasu,Vats,Vasu Vats,India,UPCA,08-09-2002,19,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
161,18,UFA2,Mujtaba,Yousuf,Mujtaba Yousuf,India,JKCA,07-06-2002,19,BOWLER,LHB,LEFT ARM Fast,,,,,,Uncapped,20,,
162,19,BA3,Finn,Allen,Finn Allen,New Zealand,,22-04-1999,22,BATSMAN,RHB,RIGHT ARM Off Spin,,6,0,RCB,RCB,0,Capped,50,
163,19,BA3,Devon,Conway,Devon Conway,New Zealand,,08-07-1991,30,BATSMAN,LHB,RIGHT ARM Medium,5,3,20,,,Capped,100,,
164,19,BA3,Alex,Hales,Alex Hales,England,,03-01-1989,33,BATSMAN,RHB,-,11,70,60,6,"MI, SRH",Capped,150,,
165,19,BA3,Evin,Lewis,Evin Lewis,West Indies,,27-12-1991,30,BATSMAN,LHB,-,57,50,21,"MI, RR",RR,5,Capped,200,
166,19,BA3,Chris,Lynn,Chris Lynn,Australia,,10-04-1990,31,BATSMAN,RHB,LEFT ARM Slow Orthodox,4,18,42,"DCH, KKR, MI",MI,1,Capped,150,
167,19,BA3,Karun,Nair,Karun Nair,India,KSCA,06-12-1991,30,BATSMAN,RHB,RIGHT ARM Off Spin,6,2,73,"RCB, RR, DD, KXIP, KKR",KKR,0,Capped,50,
168,19,BA3,Rovman,Powell,Rovman Powell,West Indies,,23-07-1993,28,BATSMAN,RHB,RIGHT ARM Fast Medium,37,33,0,KKR,,Capped,75,,
169,19,BA3,Rassie,Van Der Dussen,Rassie Van Der Dussen,South Africa,,07-02-1989,33,BATSMAN,RHB,RIGHT ARM Off Spin,13,30,34,,,Capped,100,,
170,19,BA3,Najibullah,Zadran,Najibullah Zadran,Afghanistan,,28-02-1993,29,BATSMAN,LHB,RIGHT ARM Off Spin,70,68,,,,Capped,50,,
171,20,AL3,Jofra,Archer,Jofra Archer,England,,01-04-1995,27,ALL-ROUNDER,RHB,RIGHT ARM Fast,13,17,12,35,RR,RR,0,Capped,200
172,20,AL3,Charith,Asalanka,Charith Asalanka,Sri Lanka,,29-06-1997,24,ALL-ROUNDER,LHB,RIGHT ARM Leg Spin,1,8,9,,,Capped,50,,
173,20,AL3,Rishi,Dhawan,Rishi Dhawan,India,HPCA,19-02-1990,32,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,3,1,26,"MI, KXIP, KKR",,Capped,50,,
174,20,AL3,George,Garton,George Garton,England,,15-04-1997,24,ALL-ROUNDER,LHB,LEFT ARM Fast,,1,5,RCB,RCB,5,Capped,50,
175,20,AL3,Daryl,Mitchell,Daryl Mitchell,New Zealand,,20-05-1991,30,ALL-ROUNDER,RHB,RIGHT ARM Medium,6,3,25,,,Capped,75,,
176,20,AL3,Dwaine,Pretorius,Dwaine Pretorius,South Africa,,29-03-1989,33,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,3,22,22,,,Capped,50,,
177,20,AL3,Sherfane,Rutherford,Sherfane Rutherford,West Indies,,15-08-1998,23,ALL-ROUNDER,LHB,RIGHT ARM Medium,,6,7,"DC, MI",,Capped,100,,
178,20,AL3,Daniel,Sams,Daniel Sams,Australia,,27-10-1992,29,ALL-ROUNDER,RHB,LEFT ARM Fast Medium,,4,5,"DC, RCB",RCB,2,Capped,100,
179,20,AL3,Mitchell,Santner,Mitchell Santner,New Zealand,,05-02-1992,30,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,24,75,62,6,CSK,CSK,0,Capped,100
180,20,AL3,Romario,Shepherd,Romario Shepherd,West Indies,,26-11-1994,27,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,10,9,,,,Capped,75,,
181,21,WK2,Litton,Das,Litton Das,Bangladesh,,13-10-1994,27,WICKETKEEPER,RHB,-,28,47,46,,,Capped,50,,
182,21,WK2,Niroshan,Dickwella,Niroshan Dickwella,Sri Lanka,,23-06-1993,28,WICKETKEEPER,LHB,-,45,53,28,,,Capped,50,,
183,21,WK2,Andre,Fletcher,Andre Fletcher,West Indies,,28-11-1987,34,WICKETKEEPER,RHB,-,25,54,,,,Capped,50,,
184,21,WK2,Rahmanullah,Gurbaz,Rahmanullah Gurbaz,Afghanistan,,28-11-2001,20,WICKETKEEPER,RHB,-,3,18,,,,Capped,50,,
185,21,WK2,Shai,Hope,Shai Hope,West Indies,,10-11-1993,28,WICKETKEEPER,RHB,-,38,86,15,,,Capped,50,,
186,21,WK2,Heinrich,Klaasen,Heinrich Klaasen,South Africa,,30-07-1991,30,WICKETKEEPER,RHB,-,,,7,"RR, RCB",,Capped,50,,
187,21,WK2,Ben,Mcdermott,Ben Mcdermott,Australia,,12-12-1994,27,WICKETKEEPER,RHB,-,2,17,,,,Capped,50,,
188,21,WK2,Kusal,Mendis,Kusal Mendis,Sri Lanka,,02-02-1995,27,WICKETKEEPER,RHB,RIGHT ARM Leg Spin,47,79,29,,,Capped,50,,
189,21,WK2,Kusal,Perera,Kusal Perera,Sri Lanka,,17-08-1990,31,WICKETKEEPER,LHB,-,22,107,60,2,RR,Capped,50,,
190,21,WK2,Joshua,Philippe,Joshua Philippe,Australia,,01-06-1997,24,WICKETKEEPER,RHB,-,3,10,5,RCB,,Capped,100,,
191,21,WK2,Glenn,Phillips,Glenn Phillips,New Zealand,,06-12-1996,25,WICKETKEEPER,RHB,RIGHT ARM Off Spin,1,35,3,RR,3,Capped,150,,
192,21,WK2,Tim,Seifert,Tim Seifert,New Zealand,,14-12-1994,27,WICKETKEEPER,RHB,-,3,40,1,KKR,KKR,1,Capped,50,
193,22,FA3,Jason,Behrendorff,Jason Behrendorff,Australia,,20-04-1990,31,BOWLER,RHB,LEFT ARM Fast Medium,11,9,5,"MI, CSK",CSK,0,Capped,75,
194,22,FA3,Nathan,Ellis,Nathan Ellis,Australia,,22-09-1994,27,BOWLER,RHB,RIGHT ARM Fast Medium,,2,3,PBKS,PBKS,3,Capped,75,
195,22,FA3,Fazalhaq,Farooqi,Fazalhaq Farooqi,Afghanistan,,22-09-2000,21,BOWLER,RHB,LEFT ARM Fast Medium,,1,,,,Capped,50,,
196,22,FA3,Siddharth,Kaul,Siddharth Kaul,India,PCA,19-05-1990,31,BOWLER,RHB,RIGHT ARM Fast Medium,3,3,54,"KKR, DD, SRH",SRH,8,Capped,75,
197,22,FA3,Obed,Mccoy,Obed Mccoy,West Indies,,04-01-1997,25,BOWLER,LHB,LEFT ARM Fast,2,13,,,,Capped,75,,
198,22,FA3,Tymal,Mills,Tymal Mills,England,,12-08-1992,29,BOWLER,RHB,LEFT ARM Fast,,9,5,RCB,,Capped,100,,
199,22,FA3,Adam,Milne,Adam Milne,New Zealand,,13-04-1992,29,BOWLER,RHB,RIGHT ARM Fast,40,31,9,"RCB, MI",MI,4,Capped,150,
200,22,FA3,Reece,Topley,Reece Topley,England,,21-02-1994,28,BOWLER,RHB,LEFT ARM Fast,13,6,,,,Capped,75,,
201,22,FA3,Andrew,Tye,Andrew Tye,Australia,,12-12-1986,35,BOWLER,RHB,RIGHT ARM Fast Medium,7,32,27,"GL, KXIP, RR",RR,0,Capped,100,
202,22,FA3,Sandeep,Warrier,Sandeep Warrier,India,TNCA,04-04-1991,31,BOWLER,RHB,RIGHT ARM Fast,,1,5,KKR,KKR,1,Capped,50,
203,23,SP3,Todd,Astle,Todd Astle,New Zealand,,24-09-1986,35,BOWLER,RHB,RIGHT ARM Leg Spin,5,9,5,,,Capped,75,,
204,23,SP3,Akila,Dhananjaya,Akila Dhananjaya,Sri Lanka,,04-10-1993,28,BOWLER,RHB,RIGHT ARM Off Spin,6,39,31,1,MI,Capped,50,,
205,23,SP3,Zahir,Khan,Zahir Khan,Afghanistan,,20-12-1998,23,BOWLER,LHB,LEFT ARM Slow Unorthodox,3,1,0,RR,,Capped,50,,
206,23,SP3,Keshav,Maharaj,Keshav Maharaj,South Africa,,07-02-1990,32,BOWLER,RHB,LEFT ARM Slow Orthodox,39,16,8,,,Capped,50,,
207,23,SP3,Waqar,Salamkheil,Waqar Salamkheil,Afghanistan,,02-10-2001,20,BOWLER,RHB,LEFT ARM Slow Orthodox,1,,,,,Capped,50,,
208,23,SP3,Rahul,Sharma,Rahul Sharma,India,PCA,30-11-1986,35,BOWLER,RHB,RIGHT ARM Leg Spin,4,2,44,"DCH, PWI, DD, CSK",,Capped,50,,
209,23,SP3,Hayden,Walsh,Hayden Walsh,West Indies,,23-04-1992,29,BOWLER,LHB,RIGHT ARM Leg Spin,13,30,,,,Capped,50,,
210,24,UBA3,Tanmay,Agarwal,Tanmay Agarwal,India,HYCA,03-05-1995,26,BATSMAN,LHB,RIGHT ARM Leg Spin,,,0,SRH,,Uncapped,20,,
211,24,UBA3,Shivam,Chauhan,Shivam Chauhan,India,HCA,14-10-1997,24,BATSMAN,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
212,24,UBA3,Nikhil,Gangta,Nikhil Gangta,India,HPCA,01-09-1992,29,BATSMAN,RHB,RIGHT ARM Off Spin,,,,,,Uncapped,20,,
213,24,UBA3,Rohan,Kadam,Rohan Kadam,India,KSCA,05-07-1994,27,BATSMAN,LHB,RIGHT ARM Leg Spin,,,,,,Uncapped,20,,
214,24,UBA3,Tom,Kohler-Cadmore,Tom Kohler-Cadmore,England,,19-08-1994,27,BATSMAN,RHB,-,,,,,,Uncapped,40,,
215,24,UBA3,Priyank,Panchal,Priyank Panchal,India,GUCA,09-04-1990,32,BATSMAN,RHB,-,,,,,,Uncapped,20,,
216,24,UBA3,Sameer,Rizvi,Sameer Rizvi,India,UPCA,06-12-2003,18,BATSMAN,RHB,RIGHT ARM Leg Spin,,,,,,Uncapped,20,,
217,24,UBA3,Ritwik,Roy Chowdhury,Ritwik Roy Chowdhury,India,CAB,20-11-1995,26,BATSMAN,RHB,-,,,,,,Uncapped,20,,
218,24,UBA3,Subhranshu,Senapati,Subhranshu Senapati,India,OCA,30-12-1996,25,BATSMAN,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
219,24,UBA3,Apoorv,Wankhade,Apoorv Wankhade,India,VCA,14-03-1992,30,BATSMAN,RHB,RIGHT ARM Medium,,,0,"MI, KKR",,Uncapped,20,,
220,25,UAL3,Atharva,Ankolekar,Atharva Ankolekar,India,MCA,26-09-2000,21,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,Uncapped,20,,
221,25,UAL3,Tim,David,Tim David,Australia,,16-03-1996,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,1,RCB,RCB,1,Uncapped,40,
222,25,UAL3,Pravin,Dubey,Pravin Dubey,India,KSCA,01-07-1993,28,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,3,"RCB, DC",DC,0,Uncapped,20,
223,25,UAL3,Prerak,Mankad,Prerak Mankad,India,SCA,23-04-1994,27,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,,,Uncapped,20,,
224,25,UAL3,Suyash,Prabhudessai,Suyash Prabhudessai,India,GCA,06-12-1997,24,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,0,RCB,RCB,0,Uncapped,20,
225,25,UAL3,Ramandeep,Singh,Ramandeep Singh,India,PCA,13-04-1997,24,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,,,Uncapped,20,,
226,25,UAL3,B. Sai,Sudharsan,B. Sai Sudharsan,India,TNCA,15-10-2001,20,ALL-ROUNDER,LHB,RIGHT ARM Leg Spin,,,,,,Uncapped,20,,
227,25,UAL3,Atharva,Taide,Atharva Taide,India,VCA,26-04-2000,21,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,Uncapped,20,,
228,25,UAL3,Tanay,Thyagarajan,Tanay Thyagarajan,India,HYCA,15-11-1995,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,Uncapped,20,,
229,26,UWK2,Ankush,Bains,Ankush Bains,India,HPCA,16-12-1995,26,WICKETKEEPER,RHB,-,,,0,"RPS, DC",,Uncapped,20,,
230,26,UWK2,Prashant,Chopra,Prashant Chopra,India,HPCA,07-10-1992,29,WICKETKEEPER,RHB,RIGHT ARM Leg Spin,,,2,RR,,Uncapped,20,,
231,26,UWK2,Kedar,Devdhar,Kedar Devdhar,India,BCA,14-12-1989,32,WICKETKEEPER,RHB,-,,,1,DCH,,Uncapped,20,,
232,26,UWK2,Shreevats,Goswami,Shreevats Goswami,India,CAB,18-05-1989,32,WICKETKEEPER,LHB,-,,,31,"RCB, KKR, RR, SRH",SRH,0,Uncapped,20,
233,26,UWK2,Dhruv,Jurel,Dhruv Jurel,India,UPCA,21-01-2001,21,WICKETKEEPER,RHB,-,,,,,,Uncapped,20,,
234,26,UWK2,Aryan,Juyal,Aryan Juyal,India,UPCA,11-11-2001,20,WICKETKEEPER,RHB,-,,,,,,Uncapped,20,,
235,26,UWK2,Akshdeep,Nath,Akshdeep Nath,India,UPCA,10-05-1993,28,WICKETKEEPER,RHB,-,,,14,"GL, KXIP, RCB",,Uncapped,20,,
236,26,UWK2,Luvnith,Sisodia,Luvnith Sisodia,India,KSCA,15-01-2000,22,WICKETKEEPER,LHB,RIGHT ARM Off Spin,,,,,,Uncapped,20,,
237,26,UWK2,Aditya,Tare,Aditya Tare,India,MCA,07-11-1987,34,WICKETKEEPER,RHB,-,,,35,"SRH,DD, MI",MI,0,Uncapped,20,
238,26,UWK2,Upendra Singh,Yadav,Upendra Singh Yadav,India,RSPB,08-10-1996,25,WICKETKEEPER,RHB,RIGHT ARM Off Spin,,,,,,Uncapped,20,,
239,27,UFA3,Vaibhav,Arora,Vaibhav Arora,India,HPCA,14-12-1997,24,BOWLER,RHB,RIGHT ARM Fast Medium,,,0,KKR,KKR,0,Uncapped,20,
240,27,UFA3,Mukesh,Choudhary,Mukesh Choudhary,India,MACA,06-07-1996,25,BOWLER,LHB,LEFT ARM Fast,,,,,,Uncapped,20,,
241,27,UFA3,Rasikh,Dar,Rasikh Dar,India,JKCA,05-04-2000,22,BOWLER,RHB,RIGHT ARM Fast Medium,,,1,MI,,Uncapped,20,,
242,27,UFA3,Ben,Dwarshuis,Ben Dwarshuis,Australia,,23-06-1994,27,BOWLER,LHB,LEFT ARM Fast,,,0,"KXIP, DC",,Uncapped,30,,
243,27,UFA3,Pankaj,Jaswal,Pankaj Jaswal,India,HPCA,20-09-1995,26,BOWLER,RHB,RIGHT ARM Fast Medium,,,0,MI,,Uncapped,20,,
244,27,UFA3,Mohsin,Khan,Mohsin Khan,India,UPCA,15-07-1998,23,BOWLER,LHB,LEFT ARM Fast Medium,,,0,MI,MI,0,Uncapped,20,
245,27,UFA3,Lukman Hussain,Meriwala,Lukman Hussain Meriwala,India,BCA,11-12-1991,30,BOWLER,LHB,LEFT ARM Fast Medium,,,1,DC,DC,1,Uncapped,20,
246,27,UFA3,Chama,Milind,Chama Milind,India,HYCA,04-09-1994,27,BOWLER,LHB,LEFT ARM Fast,,,0,"SRH, DD",,Uncapped,20,,
247,27,UFA3,Vyshak,Vijay Kumar,Vyshak Vijay Kumar,India,KSCA,31-01-1997,25,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
248,27,UFA3,Mayank,Yadav,Mayank Yadav,India,DDCA,17-06-2002,19,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
249,28,USP2,Zeeshan,Ansari,Zeeshan Ansari,India,UPCA,16-12-1999,22,BOWLER,RHB,RIGHT ARM Leg Spin,,,,,,Uncapped,20,,
250,28,USP2,Tejas,Baroka,Tejas Baroka,India,DDCA,01-02-1996,26,BOWLER,RHB,RIGHT ARM Leg Spin,,,1,GL,,Uncapped,20,,
251,28,USP2,Yuvraj,Chudasama,Yuvraj Chudasama,India,SCA,23-11-1995,26,BOWLER,LHB,RIGHT ARM Leg Spin,,,,,,Uncapped,20,,
252,28,USP2,Dharmendrasinh,Jadeja,Dharmendrasinh Jadeja,India,SCA,04-08-1990,31,BOWLER,LHB,LEFT ARM Slow Orthodox,,,,,,Uncapped,20,,
253,28,USP2,Khrievitso,Kense,Khrievitso Kense,India,NCA,06-03-2004,18,BOWLER,RHB,RIGHT ARM Leg Spin,,,,,,Uncapped,20,,
254,28,USP2,Prince Balwant,Rai,Prince Balwant Rai,India,PCA,05-05-1999,22,BOWLER,RHB,RIGHT ARM Leg Spin,,,0,MI,,Uncapped,20,,
255,28,USP2,Pardeep,Sahu,Pardeep Sahu,India,MCA,21-08-1985,36,BOWLER,RHB,RIGHT ARM Leg Spin,,,5,"RR, KXIP",,Uncapped,20,,
256,28,USP2,Jalaj,Saxena,Jalaj Saxena,India,KCA,15-12-1986,35,BOWLER,RHB,RIGHT ARM Off Spin,,,1,"MI, RCB, DC,PBKS",PBKS,1,Uncapped,30,
257,28,USP2,Prashant,Solanki,Prashant Solanki,India,MCA,22-02-2000,22,BOWLER,RHB,RIGHT ARM Leg Spin,,,,,,Uncapped,20,,
258,28,USP2,Midhun,Sudhesan,Midhun Sudhesan,India,KCA,07-10-1994,27,BOWLER,RHB,RIGHT ARM Leg Spin,,,1,RR,,Uncapped,20,,
259,29,BA4,Martin,Guptill,Martin Guptill,New Zealand,,30-09-1986,35,BATSMAN,RHB,-,47,186,112,13,"MI,KXIP,SRH",Capped,75,,
260,29,BA4,Usman,Khawaja,Usman Khawaja,Australia,,18-12-1986,35,BATSMAN,LHB,RIGHT ARM Off Spin,46,40,9,6,RPS,Capped,150,,
261,29,BA4,Brandon,King,Brandon King,West Indies,,16-12-1994,27,BATSMAN,RHB,RIGHT ARM Off Spin,4,14,,,,Capped,50,,
262,29,BA4,Janneman,Malan,Janneman Malan,South Africa,,18-04-1996,25,BATSMAN,RHB,RIGHT ARM Off Spin,12,11,,,,Capped,50,,
263,29,BA4,Bhanuka,Rajapaksa,Bhanuka Rajapaksa,Sri Lanka,,24-10-1991,30,BATSMAN,LHB,-,5,18,,,,Capped,50,,
264,29,BA4,Rilee,Rossouw,Rilee Rossouw,South Africa,,09-10-1989,32,BATSMAN,LHB,RIGHT ARM Off Spin,36,15,5,RCB,,Capped,100,,
265,29,BA4,Paul,Stirling,Paul Stirling,Ireland,,03-09-1990,31,BATSMAN,RHB,RIGHT ARM Off Spin,3,136,94,,,Capped,50,,
266,29,BA4,Hanuma,Vihari,Hanuma Vihari,India,HYCA,13-10-1993,28,BATSMAN,RHB,RIGHT ARM Off Spin,13,,24,"SRH, DC",,Capped,50,,
267,29,BA4,James,Vince,James Vince,England,,14-03-1991,31,BATSMAN,RHB,-,13,19,12,,,Capped,200,,
268,29,BA4,Hazratullah,Zazai,Hazratullah Zazai,Afghanistan,,23-03-1998,24,BATSMAN,LHB,-,16,20,,,,Capped,50,,
269,30,AL4,Fabian,Allen,Fabian Allen,West Indies,,07-05-1995,26,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,17,28,4,,,Capped,75,,
270,30,AL4,Roston,Chase,Roston Chase,West Indies,,22-03-1992,30,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,43,33,3,,,Capped,100,,
271,30,AL4,Ben,Cutting,Ben Cutting,Australia,,30-01-1987,35,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,4,7,21,"RR, SRH, MI, KKR",KKR,0,Capped,75,
272,30,AL4,Lewis,Gregory,Lewis Gregory,England,,24-05-1992,29,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,3,9,,,,Capped,150,,
273,30,AL4,Moises,Henriques,Moises Henriques,Australia,,01-02-1987,35,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,4,16,24,62,"KKR, DD, RCB, SRH, PBKS",PBKS,5,Capped,100
274,30,AL4,Akeal,Hosein,Akeal Hosein,West Indies,,25-04-1993,28,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,12,13,,,,Capped,50,,
275,30,AL4,Karim,Janat,Karim Janat,Afghanistan,,11-08-1998,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,1,32,,,,Capped,50,,
276,30,AL4,Scott,Kuggeleijn,Scott Kuggeleijn,New Zealand,,03-01-1992,30,ALL-ROUNDER,RHB,RIGHT ARM Fast,2,18,2,"CSK, RCB",RCB,0,Capped,75,
277,30,AL4,Pawan,Negi,Pawan Negi,India,DDCA,06-01-1993,29,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,1,50,"CSK, DD, RCB, KKR",KKR,0,Capped,50,
278,30,AL4,Gurkeerat,Singh,Gurkeerat Singh,India,PCA,29-06-1990,31,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,3,,41,KKR,0,Capped,50,,
279,31,FA4,Sean,Abbott,Sean Abbott,Australia,,29-02-1992,30,BOWLER,RHB,RIGHT ARM Fast,2,7,2,RCB,,Capped,75,,
280,31,FA4,Taskin,Ahmed,Taskin Ahmed,Bangladesh,,03-04-1995,27,BOWLER,LHB,RIGHT ARM Fast,8,42,33,,,Capped,50,,
281,31,FA4,Marchant,De Lange,Marchant De Lange,South Africa,,13-10-1990,31,BOWLER,RHB,RIGHT ARM Fast,2,4,6,5,"KKR, MI",Capped,200,,
282,31,FA4,Alzarri,Joseph,Alzarri Joseph,West Indies,,20-11-1996,25,BOWLER,RHB,RIGHT ARM Fast,17,40,3,MI,,Capped,75,,
283,31,FA4,Dhawal,Kulkarni,Dhawal Kulkarni,India,MCA,10-12-1988,33,BOWLER,RHB,RIGHT ARM Fast Medium,12,2,92,"GL, RR, MI",MI,1,Capped,75,
284,31,FA4,Saqib,Mahmood,Saqib Mahmood,England,,25-02-1997,25,BOWLER,RHB,RIGHT ARM Fast,7,9,,,,Capped,200,,
285,31,FA4,Riley,Meredith,Riley Meredith,Australia,,21-06-1996,25,BOWLER,RHB,RIGHT ARM Fast,1,5,5,PBKS,PBKS,5,Capped,100,
286,31,FA4,Kane,Richardson,Kane Richardson,Australia,,12-02-1991,31,BOWLER,RHB,RIGHT ARM Fast Medium,25,26,15,"PWI, RR, RCB",RCB,1,Capped,150,
287,31,FA4,Tim,Southee,Tim Southee,New Zealand,,11-12-1988,33,BOWLER,RHB,RIGHT ARM Fast,83,143,92,43,"CSK, RR, MI, RCB, KKR",KKR,3,Capped,150
288,31,FA4,Naveen,Ul Haq,Naveen Ul Haq,Afghanistan,,23-09-1999,22,BOWLER,RHB,RIGHT ARM Fast Medium,7,13,,,,Capped,50,,
289,32,UBA4,Harpreet,Bhatia,Harpreet Bhatia,India,CSCSCA,11-08-1991,30,BATSMAN,LHB,RIGHT ARM Medium,,,4,"KKR, PWI, RCB",,Uncapped,40,,
290,32,UBA4,Rahul,Buddhi,Rahul Buddhi,India,HYCA,20-09-1997,24,BATSMAN,LHB,RIGHT ARM Leg Spin,,,,,,Uncapped,20,,
291,32,UBA4,Sudip,Chatterjee,Sudip Chatterjee,India,CAB,11-11-1991,30,BATSMAN,LHB,RIGHT ARM Leg Spin,,,,,,Uncapped,20,,
292,32,UBA4,Hiten,Dalal,Hiten Dalal,India,DDCA,25-09-1994,27,BATSMAN,RHB,RIGHT ARM Leg Spin,,,,,,Uncapped,20,,
293,32,UBA4,Abhimanyu,Easwaran,Abhimanyu Easwaran,India,CAB,06-09-1995,26,BATSMAN,RHB,RIGHT ARM Leg Spin,,,,,,Uncapped,20,,
294,32,UBA4,Laurie,Evans,Laurie Evans,England,,12-10-1987,34,BATSMAN,RHB,-,,,,,,Uncapped,40,,
295,32,UBA4,Rahul,Gahlaut,Rahul Gahlaut,India,SSCB,18-09-1995,26,BATSMAN,LHB,RIGHT ARM Off Spin,,,,,,Uncapped,20,,
296,32,UBA4,Amandeep,Khare,Amandeep Khare,India,CSCSCA,05-08-1997,24,BATSMAN,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
297,32,UBA4,Mayank,Rawat,Mayank Rawat,India,DDCA,04-12-1999,22,BATSMAN,RHB,RIGHT ARM Off Spin,,,,,,Uncapped,20,,
298,32,UBA4,Dhruv,Shorey,Dhruv Shorey,India,DDCA,06-06-1992,29,BATSMAN,RHB,RIGHT ARM Off Spin,,,2,CSK,,Uncapped,20,,
299,33,UAL4,Ayush,Badoni,Ayush Badoni,India,DDCA,03-12-1999,22,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,Uncapped,20,,
300,33,UAL4,Aneeshwar,Gautam,Aneeshwar Gautam,India,KSCA,16-01-2003,19,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,Uncapped,20,,
301,33,UAL4,Benny,Howell,Benny Howell,England,,05-10-1988,33,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,,,Uncapped,40,,
302,33,UAL4,Hayden,Kerr,Hayden Kerr,Australia,,10-07-1996,25,ALL-ROUNDER,RHB,LEFT ARM Fast Medium,,,,,,Uncapped,20,,
303,33,UAL4,Saurabh,Kumar,Saurabh Kumar,India,UPCA,01-05-1993,28,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,0,"RPS, PBKS",,Uncapped,20,,
304,33,UAL4,Shams,Mulani,Shams Mulani,India,MCA,13-03-1997,25,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,Uncapped,20,,
